CVC Name,Website,"CVC Description (Based on website, summarized by AI)",Company,Industry,Country
1868 Ventures,https://scottsmiraclegro.com/1868-ventures/,"1868 Ventures is the corporate venture capital fund of Scotts Miracle-Gro, a leader in the lawn and garden industry as well as indoor and hydroponic growing solutions. The fund's mission is to support emerging companies that can help Scotts Miracle-Gro better meet the needs of gardeners and professional growers of all sizes. 1868 Ventures invests in entrepreneurs innovating in categories relevant to Scotts Miracle-Gro's core business.
1868 Ventures aims to invest in companies where Scotts Miracle-Gro's team can add value through their 150+ years of expertise. The fund has a stage-agnostic investment approach with a focus on early-stage companies, primarily in North America. Key investment sectors include controlled environment agriculture, plant genetics, direct-to-consumer lawn and garden brands, natural and organic ingredients, and sustainable packaging solutions.
Scotts Miracle-Gro has partnered with Touchdown Ventures to operate 1868 Ventures. The Scotts Miracle-Gro team provides operational and business development experience, while leveraging subject matter expertise from across the organization. Touchdown Ventures specializes in managing corporate venture capital programs to deliver financial and strategic benefits.
Some of the key assets 1868 Ventures portfolio companies can leverage include Scotts Miracle-Gro's industry-leading brands, extensive supply chain network, decades of indoor growing expertise, consumer-driven innovation, and strong retail relationships. Entrepreneurs developing technologies for gardeners and growers are encouraged to connect with the 1868 Ventures team.",Scotts Miracle-Gro,Food and Agriculture,United States
360 Life,https://innovation.gruppoa2a.it/en/method/corporate-venture-capital,"360 Life is the corporate venture capital arm of A2A, an Italian company. Its goal is to become the leading CVC fund in Italy focused on investing in circular economy and energy transition startups by 2030. 
360 Life invests in seed and early-stage startups located in Italy and Europe. It targets companies developing ideas, technologies and solutions that promote the circular economy and energy transition. Typical investment sizes range from €500,000 to €3 million.
The investment strategy of 360 Life aligns with A2A's 2021-2030 Strategic Plan and the group's innovation priorities. Most of 360 Life's portfolio companies either already work with A2A or have agreements in place for future collaboration. Through these investments and partnerships, 360 Life aims to drive the ecological transition, responsible innovation, and a culture of sustainability.",Gruppo A2A,Energy,Italy
3M Ventures,https://www.3m.com/3M/en_US/company-us/about-3m/3m-ventures/,"3M Ventures is the corporate venture capital arm of 3M Company. They invest in early-stage, growing companies that are aligned with 3M's strategic priorities, which include automotive electrification, safety, home improvement, consumer electronics, climate tech, sustainable packaging, industrial automation, and semiconductor and data center technologies. Beyond just providing capital, 3M Ventures helps its portfolio companies leverage 3M's globally respected brand, technology platforms, laboratories, commercial expertise, customer networks, and manufacturing capabilities to accelerate their growth.",3M Company,Industrial,United States
Å Energi Invest,https://www.aenergi.no/en/about-us/a-e-invest,"Å Energi Invest is the corporate venture arm of the Norwegian energy group Å Energi. They invest in energy-related businesses from start-up through to maturity, offering high-level expertise, a strong network, and close cooperation with management to actively develop and add value to companies. Å Energi Invest is interested in good ideas and companies that can be developed to make a difference in existing or new markets, with a likely focus on renewable energy sectors such as hydroelectric power, solar power, offshore wind, battery technology, and hydrogen power.",Å Energi,Energy,Norway
A.P. Moller Capital,http://www.apmoller.com/,"A.P. Moller Holding's corporate venture company is A.P. Moller Capital, a fund management company that focuses on infrastructure investments that combine attractive risk-adjusted returns with a positive social impact. A.P. Moller Capital's priority industries include energy, logistics, and infrastructure, as evidenced by its investments in sectors like renewable power generation, ports and logistics, and gas-to-power projects. The company leverages the A.P. Moller Group's deep industry expertise and global reach to support its portfolio companies.",A.P. Moller Holding,Industrial,Denmark
ABB Ventures,https://global.abb/group/en/technology/ventures,"ABB Ventures is the corporate venture capital investment framework of the ABB Group. Since its formation in 2009, ABB Ventures has deployed around $400 million into startups spanning a range of sectors aligned with ABB's goal to write the future of industrial electrification and automation. The priority industries that ABB Ventures invests in include robotics, industrial IoT, AI/machine learning, energy transition, cybersecurity, sustainability, electric mobility, smart buildings, and distributed energy.",ABB Group,Industrial,Switzerland
ABN AMRO Ventures,http://www.abnamro.nl,"ABN AMRO has a corporate venture fund called ABN AMRO Ventures that was launched in 2015. With €150 million in assets under management, ABN AMRO Ventures invests growth capital (Series A and beyond) in innovative technology companies in Europe, the United States, and Israel, typically investing between €2-15 million per company. The companies they fund are typically in their growth phase and contribute to ABN AMRO's goal of being a client-focused and data-driven organization. While the fund's priority industries are not explicitly stated, it likely focuses on sectors such as fintech, enterprise software, and other technology-driven industries that are relevant to ABN AMRO's business.",ABN AMRO,Finance,Netherlands
Acario Innovation,https://acarioinnovation.com/,"Acario Innovation is the Silicon Valley-based corporate venture capital and open innovation arm of Tokyo Gas, established in 2017. Acario's mission is to fuel innovation and investment within startups focused on the new energy economy and sustainability sectors. Acario's priority industries for investment include decarbonization & hydrogen, carbon capture, new energy services (EaaS), and digital transformation of the energy industry.",Tokyo Gas,Energy,Japan
Accenture Ventures,https://www.accenture.com/in-en/about/ventures-index,"Accenture Ventures is Accenture's corporate venture capital program that delivers innovative solutions through strategic partnerships and investments in enterprise ventures. Based on its portfolio companies, it seems to invest across a range of industries including fintech, sustainability, cybersecurity, supply chain, healthcare, and emerging technologies like quantum computing and the metaverse. Some examples of portfolio companies include Okra (fintech), pulsESG (sustainability), Interos (supply chain), ixlayer (healthcare), and Aliro Quantum (quantum computing). Accenture Ventures also has initiatives like the Black Founders Development Program to invest in and support Black technology startup founders and entrepreneurs.",Accenture,Technology,Ireland
Achmea Innovation Fund,https://www.achmeainnovationfund.nl,"The Achmea Innovation Fund is the corporate venture capital arm of Achmea, a Dutch insurance company. Founded in 2019 and based in Amsterdam, the fund invests in promising, fast-growing start-ups and scale-ups, often based on emerging technologies in the Fintech and Insurtech sectors. The fund aims to invest in businesses with a proven product-market fit and innovative business models that will lead the way in Achmea's strategic focus areas, thereby creating a positive impact on society. Achmea's priority industries for investment include sustainable living, carefree living and working, smart mobility, health, income protection, and climate action.",Achmea,Finance,Netherlands
